id;paragraph_no;textid;storyid;sent_no;sub;sub_pobj;verb;obj;obj_pobj;am_tmp;am_loc;field1;field2;field3
514525;34;5780;112082;1;iraq;;tweet;link;;on june;;;;
514526;34;5780;112082;1;video;;title;acronym;;;;;;
514527;34;5780;112082;1;front;;swear;fealty;;;;;;
514528;34;5780;112082;1;fealty;;swear;to;state;;;;;
514529;34;5780;112082;2;video;;feature;crowd;;;;;;
514530;34;5780;112082;2;speaker;;shout;news;;;;;;
514531;34;5780;112082;2;we;;hear;news;;;;;;
514532;34;5780;112082;3;we;;ask;brother;;;;;;
514533;34;5780;112082;3;brother;of front;declare;brother;;;;;;
514534;34;5780;112082;3;come;;ask;brother;;;;;;
514535;33;5780;112081;1;threat;;issue;to;family;;;;;
514536;33;5780;112081;1;matter;;be;serious;;;;;;
514537;32;5780;112080;1;one;;oppose;one;;;;;;
514538;31;5780;112079;1;you;;carry;arm;;;;;;
514539;30;5780;112078;1;woman;;wear;veil;;;;;;
514540;29;5780;112077;1;screenshot;from video;stop;smoking;;;;;;
514541;28;5780;112076;1;son;;heed;call;;;;;;
514542;26;5780;112074;1;da'ish;;impose;meeting;;;;;;
514543;26;5780;112074;1;meeting;on population;impose;on;population;;;;;
514544;26;5780;112074;1;meeting;;send;ite;;;;;;
514545;26;5780;112074;1;ite;;summon;dignitary;;;;;;
514546;26;5780;112074;1;ite;;send;to;tribe;;;;;
514547;26;5780;112074;1;dignitary;of tribe;summon;to;urgent meeting;;;;;
514548;24;5780;112072;2;page;;post;update;;;;;;
514549;24;5780;112072;2;battalion;of kamal;deny;fealty;;;;;;
514550;24;5780;112072;2;follow;;pledge;fealty;;;;;;
514551;23;5780;112071;1;tamimi;;pledge;allegiance;;;;;;
514552;23;5780;112071;2;osc;;process;item;;on june;;;;
514553;21;5780;112069;1;rrb;;tweet;link;;on june;;;;
514554;21;5780;112069;1;account;for isil;tweet;link;;on june;;;;
514555;21;5780;112069;1;statement;;title;carry;;;;;;
514556;21;5780;112069;2;statement;;relate;rule;;;;;;
514557;21;5780;112069;2;troublemaker;;terrorize;muslim;;;;;;
514558;21;5780;112069;3;by;image;accompany;statement;;;;;;
514559;21;5780;112069;3;image;;show;execution;;;;;;
514560;19;5780;112067;1;rasmiyah;;post;update;;;;;;
514561;19;5780;112067;1;this;;be;commander;;;;;;
514562;19;5780;112067;1;god;;protect;you;;;;;;
514563;19;5780;112067;2;commander;of brigade;protect;you;;;;;;
514564;19;5780;112067;2;god;;protect;you;;;;;;
514565;19;5780;112067;3;by;image;accompany;posting;;;;;;
514566;16;5780;112064;1;we;;call;on;honorable man;;;;;
514567;16;5780;112064;1;stand;alongside brother;call;on;honorable man;;;;;
514568;15;5780;112063;1;rsb;;shell;akhtarin;;;;;;
514569;14;5780;112062;1;by;revolutionary;wage;battle;;now;;;;
514570;13;5780;112061;1;room;;announce;liberation;;hereby;;;;
514571;12;5780;112060;1;clash;;take;place;;;on outskirt;;;
514572;9;5780;112057;1;battalion;;destroy;truck;;;;;;
514573;9;5780;112057;1;battalion;;kill;member;;;in village;;;
514574;9;5780;112057;2;shimal;;upload;clip;;soon as;;;;
514575;9;5780;112057;2;follow;;be;available;;;;;;
514576;7;5780;112055;2;page;;post;update;;;;;;
514577;7;5780;112055;2;mortar;;shell;on;village;;;;;
514578;6;5780;112054;1;commander;of fath;occupy;fath;;;;;;
514579;6;5780;112054;1;fath;;occupy;fath;;;;;;
514580;6;5780;112054;1;fath;;occupy;with;;;;;;
514581;6;5780;112054;1;by;ied;wound;commander;;on june;;;;
514582;6;5780;112054;2;we;;give;mishmish;;;;;;
514583;6;5780;112054;2;tidings;;give;mishmish;;;;;;
514584;3;5780;112051;1;sharqiyah;;state;fight;;;;;;
