id;paragraph_no;textid;storyid;sent_no;sub;sub_pobj;verb;obj;obj_pobj;am_tmp;am_loc;field1;field2;field3
144;3;3567;68910;1;brigade;;target;official;;;;;;
145;3;3567;68910;1;brigade;;be;able;;on wednesday;;;;
146;3;3567;68910;3;operation;;claim;life;;;;;;
147;3;3567;68910;3;by;mujahidin;plant;device;;;;;;
148;3;3567;68910;4;praise;;be;to;god;;;;;
153;5;3567;68912;1;hypocrite;;be;aware;;;;;;
156;3;3568;68918;1;man;;convict;of;;;;;;
157;9;3568;68924;1;number;of people;participate;in;event;;;;;
158;9;3568;68924;1;by;husayn;lead;mym;;;;;;
159;9;3568;68924;2;husayn;;deliver;speech;;;;;;
161;9;3568;68924;2;them;;congratulate;on;victory;;;;;
163;9;3568;68924;3;husayn;;remind;them;;;;;;
164;9;3568;68924;3;place;;be;base;;ago long;;;;
165;9;3568;68924;3;place;;be;in;hand;today;;;;
167;9;3568;68924;4;husayn;;call;with;mujahidin;;;;;
168;10;3568;68925;1;chief;;give;speech;;;speech confirm;;;
169;10;3568;68925;1;chief;;confirm;support;;;speech confirm;;;
170;10;3568;68925;2;haq;;announce;sentence;;then;;;;
171;10;3568;68925;2;#crd#;of man;implement;sentence;;;;;;
172;14;3568;68929;1;god;;be;great;;;;;;
173;14;3568;68929;1;god;;be;great;;;;;;
174;14;3568;68929;1;god;;be;great;;;;;;
175;15;3568;68930;1;honor;;belong;to;allah;;;;;
176;15;3568;68930;1;hypocrite;;be;aware;;;;;;
177;16;3568;68931;1;#crd#;;be;quick;;;;;;
178;0;3569;68933;1;you;;do;youth;;;;;;
179;1;3569;68934;1;peace;;be;upon;you;;;;;
180;2;3569;68935;1;channel;;broadcast;report;;yesterday;;;;
181;2;3569;68935;1;report;;state;extend;;;;;;
182;2;3569;68935;1;sharif;;announce;hand;;;in statement;;;
183;2;3569;68935;1;sharif;;vow;law;;;;;;
184;2;3569;68935;1;sharif;;apply;law;;;;;;
185;2;3569;68935;2;jazirah;;contact;spokesman;;;;;;
186;2;3569;68935;2;jazirah;;comment;on;report;;;;;
187;2;3569;68935;2;spokesman;;comment;on;report;;;;;
188;2;3569;68935;3;we;;state;believer;;;;;;
189;2;3569;68935;3;method;;pass;unnoticed;;;;;;
190;2;3569;68935;3;believer;;get;bite;;;;;;
191;2;3569;68935;3;messenger;of god;be;upon;mujahidin;;;;;
192;2;3569;68935;3;be;upon mujahidin;state;bite;;;;;;
193;3;3569;68936;2;sharif;;mean;shari'ah;;;;;;
194;3;3569;68936;2;shari'ah;;blend;with;international law;;;;;
195;3;3569;68936;2;we;;disbelieve;part;;;;;;
196;3;3569;68936;2;we;;believe;in;others;;;;;
197;3;3569;68936;2;sharif;;mean;shari'ah;;;under concept;;;
198;4;3569;68937;2;he;;mean;shari'ah;;at time;over land;;;
199;4;3569;68937;2;he;;want;he;;;;;;
200;4;3569;68937;2;he;;pull;rug;;;;;;
201;4;3569;68937;2;rug;;pull;from;;;;;;
202;4;3569;68937;3;hypocrite;;be;disappointed;;;;;;
203;5;3569;68938;1;we;;state;people;;;;;;
204;5;3569;68938;1;you;;state;so;;previously;;;;
205;5;3569;68938;1;you;;act;so;;;;;;
206;5;3569;68938;1;you;;stop;war;;;;;;
207;5;3569;68938;1;war;;drain;people;;;;;;
208;5;3569;68938;2;you;;relinquish;power;;;;;;
209;5;3569;68938;3;you;;be;sincere;;;;;;
210;5;3569;68938;4;you;;pledge;shari'ah;;;;;;
211;5;3569;68938;4;you;;apply;shari'ah;;;;;;
212;5;3569;68938;4;movement;;leave;arena;;;;;;
213;5;3569;68938;4;those;;be;arena;;;;;;
214;5;3569;68938;5;elect;;tell;me;;;;;;
219;5;3569;68938;7;we;;say;success;;;;;;
221;6;3569;68939;2;we;;accept;solution;;;;;;
222;6;3569;68939;2;we;;believe;in;some;;;;;
225;6;3569;68939;5;we;;assure;preacher;;;;;;
226;6;3569;68939;5;preacher;of non-belief;assure;support;;;;;;
227;6;3569;68939;5;we;;support;puppet;;;;;;
228;6;3569;68939;5;puppet;;claim;puppet;;;;;;
229;6;3569;68939;5;puppet;;apply;as;;;;;;
232;6;3569;68939;5;crusader;;protect;shari'ah;;;;;;
233;7;3569;68940;1;dog;;wait;for;;;;;;
234;7;3569;68940;2;man;;be;determined;;;;;;
235;2;3570;68944;1;brigade;;belong;to;army;;in state;;;
236;2;3570;68944;1;brigade;;attack;gang;;on morning;in state;;;
237;2;3570;68944;1;brigade;;spread;corruption;;on morning;in state;;;
238;2;3570;68944;1;gang;;attack;from;militia;on morning;;;;
239;2;3570;68944;2;god;;enable;brigade;;;;;;
240;2;3570;68944;2;brigade;;kill;man;;;;;;
241;2;3570;68944;2;kill;man;enable;brigade;man;;;;;
242;2;3570;68944;2;man;;flee;arena;;;;;;
243;2;3570;68944;2;man;;leave;behind;;;;;;
244;2;3570;68944;2;arena;;leave;behind;;;;;;
245;2;3570;68944;2;most;of man;leave;behind;;;;;;
246;2;3570;68944;2;weapon;;leave;behind;;;;;;
247;2;3570;68944;3;mujahidin;;pursue;man;;until evening;;;;
248;2;3570;68944;4;praise;;be;to;god;;;;;
249;3;3570;68945;1;revealer;of book;defeat;crusader;;;;;;
250;3;3570;68945;1;party;;apostate;ally;;;;;;
251;3;3570;68945;3;god;;destroy;party;;;;;;
252;3;3570;68945;4;you;;be;one;;;;;;
253;3;3570;68945;4;one;;help;us;;;;;;
254;3;3570;68945;4;one;;assist;us;;;;;;
255;3;3570;68945;4;you;;power;us;;;;;;
256;3;3570;68945;4;us;;power;move;;;;;;
257;3;3570;68945;4;you;;power;us;;;;;;
258;3;3570;68945;4;us;;power;fight;;;;;;
259;5;3570;68947;1;god;;be;great;;;;;;
260;8;3669;70397;1;weapon;;use;against;legion;;;;;
261;5;3554;68729;1;battle;;take;place;;on morning;in area;;;
262;5;3554;68729;2;victory;;be;ally;;;;;;
263;5;3554;68729;2;mujahidin;;take;follower;;;;;;
264;5;3554;68729;3;praise;;be;to;god;;;;;
265;6;3554;68730;1;mujahidin;;be;ready;;;;;;
266;7;3554;68731;1;government;;support;government;;;in somalia;;;
267;7;3554;68731;1;government;;strive;militia;;;in somalia;;;
268;7;3554;68731;1;government;;form;militia;;;in somalia;;;
269;7;3554;68731;1;rsb;;monitor;movement;;;;;;
270;8;3554;68732;1;allah;;hath;power;;;;;;
271;9;3554;68733;1;revealer;of book;defeat;crusader;;;;;;
272;9;3554;68733;1;party;;apostate;ally;;;;;;
273;9;3554;68733;3;god;;destroy;party;;;;;;
274;9;3554;68733;4;you;;be;one;;;;;;
275;9;3554;68733;4;one;;help;us;;;;;;
277;9;3554;68733;4;you;;power;us;;;;;;
278;9;3554;68733;4;us;;power;move;;;;;;
279;9;3554;68733;4;you;;power;us;;;;;;
280;9;3554;68733;4;us;;power;fight;;;;;;
281;10;3554;68734;1;god;;be;great;;;;;;
282;11;3554;68735;1;honor;;belong;to;allah;;;;;
283;11;3554;68735;1;to;allah;belong;aware;;;;;;
284;11;3554;68735;1;hypocrite;;be;aware;;;;;;
285;1;3555;68737;2;feeble;;be;cunning;;;;;;
286;3;3555;68739;1;praise;;be;to;god;;;;;
288;4;3555;68740;1;gang;;belong;to;apostate militia;;;;;
289;4;3555;68740;1;gang;;attempt;commander;;;;;;
290;4;3555;68740;1;gang;;assassinate;commander;;;;;;
291;4;3555;68740;2;awwal;;correspond;to;may;in attempt;;;;
292;4;3555;68740;2;part;of movement;aim;at;;;;;;
294;4;3555;68740;2;part;of movement;be;to;god;;;;;
295;4;3555;68740;3;incident;;take;place;;open when;;;;
296;4;3555;68740;3;#crd#;of car;open;fire;;;on car;;;
297;4;3555;68740;3;by;commander;drive;car;;;;;;
298;4;3555;68740;4;lion;;carry;maneuver;;;;;;
299;4;3555;68740;4;maneuver;;force;enemy;;;;;;
301;4;3555;68740;5;commander;;continue;ambush;;;on commander;;;
302;4;3555;68740;5;by;enemy;set;ambush;;;;;;
303;4;3555;68740;6;commander;;exchange;fire;;;;;;
304;4;3555;68740;6;fire;;exchange;with;militia;;;;;
305;4;3555;68740;7;this;;lead;to;eruption;;;;;
306;4;3555;68740;7;militia;;last;long;;;;;;
307;4;3555;68740;8;praise;;be;to;god;;;;;
308;4;3555;68740;8;victory;;be;for;mujahidin;;;;;
309;5;3555;68741;1;it;;be;worth;;;;;;
310;5;3555;68741;1;militia;;call;jihad;;;;;;
313;5;3555;68741;2;assailant;;know;vicissitudes;;soon;;;;
315;6;3555;68742;1;revealer;of book;defeat;crusader;;;;;;
316;6;3555;68742;3;god;;destroy;party;;;;;;
317;6;3555;68742;3;god;;shake;party;;;;;;
318;6;3555;68742;4;you;;be;one;;;;;;
319;6;3555;68742;4;one;;help;us;;;;;;
